"Site","Treatment","Plot","Date_field_collected","Date_data_entry","Latitude","Longitude","Comments"
"VICP","TIL","P23",2021-05-13,2021-05-13,43.7291333333333,79.3015166666667,"took five soil samples and geotagged the location by GX. Data entered by GX"
"VICP","TIL","P25",2021-05-13,2021-05-13,43.7289166666667,79.3013333333333,"took five soil samples and geotagged the location by GX. Data entered by GX"
"TIMH","TIL","P01",2021-05-19,2021-05-22,43.7927,79.2728166666667,"Data entry by AS. Five soil samples by GX"
"TIMH","TIL","P03",2021-05-19,2021-05-22,43.7428666666667,79.2729166666667,"Data entry by AS. Five soil samples by GX"
"TIMH","TIL","P05",2021-05-19,2021-05-22,43.7347666666667,79.2914666666667,"Data entry by AS. Five soil samples by GX"
"TIMH","TIL","P11",2021-05-19,2021-05-22,43.7426,79.27305,"Data entry by AS. Five soil samples by GX"
"TIMH","TIL","P13",2021-05-19,2021-05-22,43.7427833333333,79.2731666666667,"Data entry by AS. Five soil samples by GX"
"TIMH","TIL","P15",2021-05-19,2021-05-22,43.74295,79.2733,"Data entry by AS. Five soil samples by GX"
"TIMH","TIL","P21",2021-05-19,2021-05-22,43.7425,79.2732833333333,"Data entry by AS. Five soil samples by GX"
"TIMH","TIL","P23",2021-05-19,2021-05-22,43.7426833333333,79.2734166666667,"Data entry by AS. Five soil samples by GX"
"TIMH","TIL","P25",2021-05-19,2021-05-22,43.74285,79.27355,"Data entry by AS. Five soil samples by GX"
"BRIM","MOW","P01",2021-05-27,2021-05-30,43.77955,79.2245,"Data entry by AS"
"BRIM","MOW","P03",2021-05-27,2021-05-30,43.7743833333333,79.2243166666667,"Data entry by AS"
"BRIM","MOW","P05",2021-05-27,2021-05-30,43.77425,79.2241166666667,"Data entry by AS"
"BRIM","MOW","P11",2021-05-27,2021-05-30,43.7746833333333,79.2243166666667,"Data entry by AS"
"BRIM","MOW","P13",2021-05-27,2021-05-30,43.7745166666667,79.2241,"Data entry by AS"
"BRIM","MOW","P15",2021-05-27,2021-05-30,43.7743666666667,79.2239166666667,"Data entry by AS"
"BRIM","MOW","P21",2021-05-27,2021-05-30,43.7748166666667,79.2240666666667,"Data entry by AS"
"BRIM","MOW","P23",2021-05-27,2021-05-30,43.7746666666667,79.22385,"Data entry by AS"
"BRIM","MOW","P25",2021-05-27,2021-05-30,43.7745333333333,79.2236833333333,"Data entry by AS"
"AMBJ","MOW","P01",2021-05-25,2021-05-25,43.7667166666667,79.23645,"Data Entry by AS"
"AMBJ","MOW","P03",2021-05-25,2021-05-25,43.7670666666667,79.2362666666667,"Data Entry by AS"
"AMBJ","MOW","P05",2021-05-25,2021-05-25,43.7669166666667,79.2360833333333,"Data Entry by AS"
"AMBJ","MOW","P11",2021-05-25,2021-05-25,43.7673833333333,79.2362666666667,"Data Entry by AS"
"AMBJ","MOW","P13",2021-05-25,2021-05-25,43.76725,79.2360833333333,"Data Entry by AS"
"AMBJ","MOW","P15",2021-05-25,2021-05-25,43.7670833333333,79.2359,"Data Entry by AS"
"AMBJ","MOW","P21",2021-05-25,2021-05-25,43.7672166666667,79.2357166666667,"Data Entry by AS"
"AMBJ","MOW","P23",2021-05-25,2021-05-25,43.7673833333333,79.2358666666667,"Data Entry by AS"
"AMBJ","MOW","P25",2021-05-25,2021-05-25,43.7675,79.2361,"Data Entry by AS"
"DVAG","MOW","P01",2021-05-25,2021-05-25,43.76755,79.23365,"Data Entry by AS"
"DVAG","MOW","P03",2021-05-25,2021-05-25,43.7675333333333,79.2340333333333,"Data Entry by AS"
"DVAG","MOW","P05",2021-05-25,2021-05-25,43.7673833333333,79.23385,"Data Entry by AS"
"DVAG","MOW","P11",2021-05-25,2021-05-25,43.7678333333333,79.2340166666667,"Data Entry by AS"
"DVAG","MOW","P13",2021-05-25,2021-05-25,43.7676833333333,79.23385,"Data Entry by AS"
"DVAG","MOW","P15",2021-05-25,2021-05-25,43.76745,79.2335666666667,"Data Entry by AS"
"DVAG","MOW","P21",2021-05-25,2021-05-25,43.76795,79.2338333333333,"Data Entry by AS"
"DVAG","MOW","P23",2021-05-25,2021-05-25,43.7678,79.2336333333333,"Data Entry by AS"
"DVAG","MOW","P25",2021-05-25,2021-05-25,43.7676,79.2333666666667,"Data Entry by AS"
"DAVE","RES","P01",2021-05-06,2021-05-06,43.7670666666667,79.2351666666667,"took five soil samples and geo-tagged location by GX. Data entry by GX"
"DAVE","RES","P03",2021-05-06,2021-05-06,43.76665,79.2351833333333,"took five soil samples and geo-tagged location by GX. Data entry by GX"
"DAVE","RES","P05",2021-05-06,2021-05-06,43.7664666666667,79.235,"took five soil samples and geo-tagged location by GX. Data entry by GX"
"DAVE","RES","P11",2021-05-06,2021-05-06,43.7666333333333,79.23475,"took five soil samples and geo-tagged location by GX. Data entry by GX"
"DAVE","RES","P13",2021-05-07,2021-05-07,43.7669333333333,79.2349333333333,"took five soil samples and geo-tagged location by GX. Data entry by GX"
"DAVE","RES","P15",2021-05-07,2021-05-07,43.7669166666667,79.2351,"took five soil samples and geo-tagged location by GX. Data entry by GX"
"DAVE","RES","P21",2021-05-07,2021-05-07,43.76705,79.23485,"took five soil samples and geo-tagged location by GX. Data entry by GX"
"DAVE","RES","P23",2021-05-07,2021-05-07,43.7668666666667,79.2346833333333,"took five soil samples and geo-tagged location by GX. Data entry by GX"
"DAVE","RES","P25",2021-05-07,2021-05-07,43.76675,79.2345666666667,"took five soil samples and geo-tagged location by GX. Data entry by GX"
"GNRB","RES","P01",2021-05-03,2021-05-03,43.7617666666667,79.2430333333333,"took five soil samples and geo-tagged location (by GX). Data entered by GX"
"GNRB","RES","P03",2021-05-03,2021-05-03,43.762,79.2430333333333,"took five soil samples and geo-tagged location (by GX). Data entered by GX"
"GNRB","RES","P05",2021-05-03,2021-05-03,43.7621666666667,79.2431666666667,"took five soil samples and geo-tagged location (by GX). Data entered by GX"
"GNRB","RES","P11",2021-05-04,2021-05-04,43.7617,79.2432666666667,"took five soil samples and geo-tagged location (by GX). Data entered by GX"
"GNRB","RES","P13",2021-05-04,2021-05-04,43.7618833333333,79.2433833333333,"took five soil samples and geo-tagged location (by GX). Data entered by GX"
"GNRB","RES","P15",2021-05-04,2021-05-04,43.7620666666667,79.2433833333333,"took five soil samples and geo-tagged location (by GX). Data entered by GX"
"GNRB","RES","P21",2021-05-04,2021-05-04,43.7616333333333,79.2435166666667,"took five soil samples and geo-tagged location (by GX). Data entered by GX"
"GNRB","RES","P23",2021-05-04,2021-05-04,43.7618,79.2436333333333,"took five soil samples and geo-tagged location (by GX). Data entered by GX"
"GNRB","RES","P25",2021-05-04,2021-05-04,43.7620166666667,79.2437166666667,"took five soil samples and geo-tagged location (by GX). Data entered by GX"
"AMBJ","MOW","P01",2021-05-25,2021-05-25,43.7667166666667,79.23645,"Data Entry by AS"
"AMBJ","MOW","P03",2021-05-25,2021-05-25,43.7670666666667,79.2362666666667,"Data Entry by AS"
"AMBJ","MOW","P05",2021-05-25,2021-05-25,43.7669166666667,79.2360833333333,"Data Entry by AS"
"AMBJ","MOW","P11",2021-05-25,2021-05-25,43.7673833333333,79.2362666666667,"Data Entry by AS"
"AMBJ","MOW","P13",2021-05-25,2021-05-25,43.76725,79.2360833333333,"Data Entry by AS"
"AMBJ","MOW","P15",2021-05-25,2021-05-25,43.7670833333333,79.2359,"Data Entry by AS"
"AMBJ","MOW","P21",2021-05-25,2021-05-25,43.7672166666667,79.2357166666667,"Data Entry by AS"
"AMBJ","MOW","P23",2021-05-25,2021-05-25,43.7673833333333,79.2358666666667,"Data Entry by AS"
"AMBJ","MOW","P25",2021-05-25,2021-05-25,43.7675,79.2361,"Data Entry by AS"
